"code","country","wave","F115","F116","F117","F118","F119","F120","F121","F122","F123","X049","c2","c3","name"
356,"IN",4,1.95104895104895,1.95354645354645,1.76073926073926,1.85314685314685,2.13736263736264,2.75724275724276,3.40509490509491,2.8961038961039,2.44405594405594,3.27922077922078,"IN"," IND"," INDIA"
356,"IN",5,2.77161419290355,2.37531234382809,2.40579710144928,2.01749125437281,2.24387806096952,2.5312343828086,3.10144927536232,2.87706146926537,2.60819590204898,2.44427786106947,"IN"," IND"," INDIA"
356,"IN",6,4.32764073371284,4.01265022137887,4.02593295382669,4.09614168247944,3.97722960151803,4.42631246046806,4.14294750158128,4.01201771030993,4.33649588867805,2.60404807084124,"IN"," IND"," INDIA"
360,"ID",4,1.363,1.537,1.444,1.128,1.127,1.283,2.49,1.486,1.051,4.116,"ID"," IDN"," INDONESIA"
360,"ID",5,1.55980148883375,1.51265508684864,1.3712158808933,1.28436724565757,1.35334987593052,1.44069478908189,2.83325062034739,1.67096774193548,1.25558312655087,5.89875930521092,"ID"," IDN"," INDONESIA"
364,"IR",4,1.71287519747235,1.38309636650869,1.19707740916272,1.15086887835703,1.11729857819905,1.70616113744076,2.67614533965245,1.85860979462875,1.1370458135861,5,"IR"," IRN"," IRAN (ISLAMIC REPUBLIC OF)"
364,"IR",5,2.64416947881515,1.99775028121485,1.73940757405324,1.48031496062992,1.5031871016123,2.28683914510686,3.0997375328084,2.69741282339708,1.71391076115486,5.08661417322835,"IR"," IRN"," IRAN (ISLAMIC REPUBLIC OF)"
376,"IL",4,5,5,1.41701417848207,4.6605504587156,3.29441201000834,5.06672226855713,6.34028356964137,5,5,5,"IL"," ISR"," ISRAEL"
380,"IT",5,2.04446640316206,2.13636363636364,1.28162055335968,2.95256916996047,2.24308300395257,3.33201581027668,4.76679841897233,3.45948616600791,1.9100790513834,4.54347826086957,"IT"," ITA"," ITALY"
392,"JP",1,1.26578073089701,1.16279069767442,1.46511627906977,1.90282392026578,1.63039867109635,2.7890365448505,3.66445182724252,3.80066445182724,2.21843853820598,5,"JP"," JPN"," JAPAN"
392,"JP",2,1.43916913946588,1.40158259149357,1.69535113748764,2.11968348170129,1.72898120672601,3.34322453016815,4.40652818991098,4.73887240356083,2.4272997032641,5,"JP"," JPN"," JAPAN"
392,"JP",3,1.51328273244782,1.46394686907021,1.5303605313093,3.11480075901328,2.05218216318786,3.95540796963947,5.27798861480076,5.3595825426945,2.33017077798861,5,"JP"," JPN"," JAPAN"
392,"JP",4,1.53010279001468,1.37298091042584,1.43906020558003,3.72099853157122,2.02276064610866,4.15124816446402,5.68135095447871,5.73568281938326,2.68428781204112,5,"JP"," JPN"," JAPAN"
392,"JP",5,1.51916058394161,1.38959854014599,1.47536496350365,4.03284671532847,1.89963503649635,4.16514598540146,5.89324817518248,5.83302919708029,2.60857664233577,5,"JP"," JPN"," JAPAN"
392,"JP",6,1.29390094146541,1.22349570200573,1.31068358575522,4.0290626279165,5,3.9316414244781,5.22144903806795,5,2.01064265247646,5,"JP"," JPN"," JAPAN"
410,"KR",1,1.94226804123711,1.35773195876289,1.91134020618557,1.84123711340206,1.81649484536082,3.8020618556701,3.74845360824742,4.23505154639175,2.89484536082474,5,"KR"," KOR"," KOREA"
410,"KR",2,2.75219824140687,1.53317346123102,1.79536370903277,1.53557154276579,2.15907274180655,4.20623501199041,4.24540367705835,5,2.84412470023981,5,"KR"," KOR"," KOREA"
410,"KR",3,2.63090472377902,1.77822257806245,1.50280224179343,2.12650120096077,2.27542033626902,3.35308246597278,4.12249799839872,4.25380304243395,2.82065652522018,5,"KR"," KOR"," KOREA"
410,"KR",4,2.7425,1.58916666666667,1.41583333333333,2.77166666666667,2.1975,3.365,4.5675,4.55916666666667,2.76583333333333,5,"KR"," KOR"," KOREA"
410,"KR",5,2.78083333333333,1.6575,1.5875,2.925,2.53666666666667,3.57666666666667,4.765,4.81166666666667,2.93166666666667,5,"KR"," KOR"," KOREA"
410,"KR",6,2.7975,1.73833333333333,1.64,3.47833333333333,5,3.49083333333333,4.74666666666667,5,2.47666666666667,5,"KR"," KOR"," KOREA"
422,"LB",6,2.86333333333333,3.17833333333333,2.76333333333333,3.0025,5,3.13083333333333,4.0625,3.25166666666667,2.865,3.04583333333333,"LB"," LBN"," LEBANON"
458,"MY",5,3.6819317235637,3.52789342214821,3.1940049958368,3.01665278934221,2.97751873438801,2.97418817651957,3.5736885928393,3.21065778517902,2.96835970024979,4.79433805162365,"MY"," MYS"," MALAYSIA"
458,"MY",6,2.65230769230769,2.61692307692308,2.36,2.37076923076923,2.15076923076923,2.12923076923077,2.82692307692308,5,2.04,1.05923076923077,"MY"," MYS"," MALAYSIA"
484,"MX",1,3.47196516058791,3.34730538922156,2.2509526401742,2.25748502994012,2.44855743059336,2.6902558519325,3.69352204681546,3.67991290146979,2.15296679368536,5,"MX"," MEX"," MEXICO"
484,"MX",2,4.13455258001306,3.6884389288047,2.66492488569562,2.81515349444807,3.08752449379491,3.73350751143044,4.72436316133246,3.84715871979099,3.01959503592423,6.88112344872632,"MX"," MEX"," MEXICO"
484,"MX",3,3.25761421319797,2.94500846023689,2.43950930626058,2.79441624365482,2.78468697123519,2.66835871404399,4.14805414551607,3.23984771573604,1.76438240270728,4.57783417935702,"MX"," MEX"," MEXICO"
484,"MX",4,3.58241042345277,2.14527687296417,1.9485342019544,3.35895765472313,2.95830618892508,2.56482084690554,4.46319218241042,3.11530944625407,1.6514657980456,3.78436482084691,"MX"," MEX"," MEXICO"
484,"MX",5,4.04807692307692,2.48205128205128,2.3051282051282,4.10769230769231,3.58461538461538,2.93782051282051,4.91666666666667,3.93782051282051,2.38012820512821,5.37692307692308,"MX"," MEX"," MEXICO"
484,"MX",6,4.31,2.147,2.0935,4.077,3.3335,2.863,4.842,3.0645,2.2835,4.347,"MX"," MEX"," MEXICO"
528,"NL",5,2.00190476190476,2.20857142857143,1.50952380952381,6.85238095238095,5.2352380952381,5.19238095238095,6.20666666666667,5.9952380952381,3.47809523809524,5,"NL"," NLD"," NETHERLANDS"
528,"NL",6,1.80178759200841,1.81230283911672,1.3186119873817,7.32124079915878,4.5615141955836,6.02681388012618,6.82649842271293,7.09148264984227,3.88748685594111,5.80231335436383,"NL"," NLD"," NETHERLANDS"
554,"NZ",3,1.95587010824313,2.17152373022481,1.36136552872606,3.95004163197336,3.87760199833472,4.59367194004996,5.82348043297252,5.78517901748543,2.47127393838468,5,"NZ"," NZL"," NEW ZEALAND"
554,"NZ",5,1.83857442348008,1.93291404612159,1.27987421383648,4.51991614255765,3.87106918238994,4.60062893081761,5.92976939203354,5.33228511530398,2.42662473794549,5,"NZ"," NZL"," NEW ZEALAND"
554,"NZ",6,2.04756242568371,1.75862068965517,1.39714625445898,5.11296076099881,3.820451843044,4.79667063020214,6.20332936979786,5.42211652794292,2.45659928656361,4.56004756242568,"NZ"," NZL"," NEW ZEALAND"
566,"NG",2,2.40959040959041,2.22277722277722,2.03996003996004,1.77822177822178,2.14685314685315,2.67732267732268,3.23176823176823,3.15684315684316,1.80919080919081,6.05994005994006,"NG"," NGA"," NIGERIA"
566,"NG",3,2.31312625250501,1.87074148296593,1.8812625250501,1.52154308617234,1.69088176352705,1.91282565130261,2.50400801603206,2.31713426853707,1.53557114228457,6.12575150300601,"NG"," NGA"," NIGERIA"
566,"NG",4,2.29129574678536,2.03016815034619,1.91394658753709,1.5024727992087,1.58011869436202,1.67655786350148,2.47378832838774,2.06973293768546,1.62363996043521,4.71810089020772,"NG"," NGA"," NIGERIA"
566,"NG",6,2.49857873791927,2.24445707788516,2.21830585559977,2.0125071063104,2.08754974417283,2.13246162592382,2.67595224559409,5,2.12848209209778,5.57077885162024,"NG"," NGA"," NIGERIA"
578,"NO",3,1.92369121561668,2.69032830523514,1.31055900621118,5.53682342502218,2.98225377107365,5.49068322981366,5.87488908606921,5.12244897959184,2.54569653948536,3.98402839396628,"NO"," NOR"," NORWAY"
578,"NO",5,2.25658536585366,2.25073170731707,1.48975609756098,7.52878048780488,4.02439024390244,6.57170731707317,7.13853658536585,5.46243902439024,3.32292682926829,4.16390243902439,"NO"," NOR"," NORWAY"
608,"PH",3,3.27166666666667,2.98666666666667,3.48583333333333,3.73083333333333,2.98583333333333,2.32,3.29583333333333,2.71583333333333,2.275,5,"PH"," PHL"," PHILIPPINES"
608,"PH",4,3.575,3.10416666666667,3.2675,3.855,3.275,2.83583333333333,3.28666666666667,3.04083333333333,2.62,6.6875,"PH"," PHL"," PHILIPPINES"
608,"PH",6,4.34166666666667,3.77666666666667,4.13666666666667,4.3875,3.58833333333333,3.11833333333333,4.05,3.30916666666667,2.9425,6.7375,"PH"," PHL"," PHILIPPINES"
643,"RU",2,2.62213156552779,2.50790413054564,1.37531871494136,1.26007139214686,1.66649668536461,4.19683834778174,4.42478327383988,3.06425293217746,2.00254971953085,5.73227944926058,"RU"," RUS"," RUSSIAN FEDERATION"
643,"RU",3,3.80980392156863,2.89852941176471,1.43872549019608,1.41127450980392,1.93676470588235,4.52107843137255,4.94705882352941,4.40049019607843,1.88333333333333,5.42156862745098,"RU"," RUS"," RUSSIAN FEDERATION"
643,"RU",5,3.69208066896213,2.77865223807182,1.72848007870143,2.15346778160354,2.1101819970487,3.58239055582882,4.9394982784063,4.25676340383669,1.92179045745204,5,"RU"," RUS"," RUSSIAN FEDERATION"
